Year;Unit;Country;Month;value
2018;sqm;Mauritius;01;0
2018;sqm;Mexico;01;901
2018;sqm;Namibia;01;0
2018;sqm;Philippines;01;0
2018;sqm;Portugal;01;12636
2018;sqm;Romania;01;0
2018;sqm;Singapore;01;0
2018;sqm;South Korea;01;6308
2018;sqm;Spain;01;96008
2018;sqm;Taiwan;01;0
2018;sqm;Thailand;01;0
2018;sqm;Turkey;01;29782
2018;sqm;United Kingdom;01;0
2018;sqm;Vietnam;01;42739
2019;sqm;Malaysia;01;741
2019;sqm;Romania;01;0
2019;sqm;Pakistan;01;0
2019;sqm;Vatican City;01;0
2019;sqm;Sri Lanka;01;0
2019;sqm;Czechia;01;17304
2019;sqm;Germany;01;11227
2019;sqm;Brazil;01;10427
2019;sqm;Mexico;01;1056
2019;sqm;Norway;01;0
2019;sqm;Egypt;01;0
2019;sqm;Belgium;01;14447
2019;sqm;United Kingdom;01;0
2019;sqm;Hong Kong;01;0
2019;sqm;Tokelau Is;01;0
2019;sqm;Algeria;01;0
2019;sqm;China;01;22273
2019;sqm;Italy;01;32458
2019;sqm;Japan;01;0
2019;sqm;Ireland;01;0
2019;sqm;Canada;01;58080
2019;sqm;Oman;01;342
2019;sqm;Guatemala;01;0
2019;sqm;United Arab Em;01;0
2019;sqm;Poland;01;0
2019;sqm;Spain;01;163222
2019;sqm;Greece;01;0
2019;sqm;South Africa;01;0
2019;sqm;Vietnam;01;38259
2019;sqm;Netherlands;01;0
2019;sqm;Singapore;01;0
2019;sqm;Turkey;01;55595
2019;sqm;Dominican Rep;01;0
2019;sqm;Estonia;01;0
2019;sqm;Indonesia;01;0
2019;sqm;Philippines;01;71
2019;sqm;Thailand;01;104
2019;sqm;Israel;01;26677
2019;sqm;India;01;206492
2019;sqm;Taiwan;01;13789
2019;sqm;South Korea;01;26766
2019;sqm;Portugal;01;10550
2020;sqm;Malaysia;01;92962
2020;sqm;Romania;01;364
2020;sqm;Pakistan;01;840
2020;sqm;Sri Lanka;01;785
2020;sqm;Czechia;01;33360
2020;sqm;Germany;01;21563
2020;sqm;Brazil;01;20669
2020;sqm;Mexico;01;1868
2020;sqm;France;01;0
2020;sqm;Belgium;01;7499
2020;sqm;Hong Kong;01;1738
2020;sqm;Algeria;01;0
2020;sqm;China;01;9914
2020;sqm;Italy;01;31878
2020;sqm;Canada;01;62666
2020;sqm;Cabo Verde;01;0
2020;sqm;Oman;01;3098
2020;sqm;United Arab Em;01;4392
2020;sqm;Spain;01;201557
2020;sqm;Greece;01;0
2020;sqm;Vietnam;01;160178
2020;sqm;Netherlands;01;0
2020;sqm;Singapore;01;0
2020;sqm;Turkey;01;16347
2020;sqm;Dominican Rep;01;0
2020;sqm;Cambodia;01;0
2020;sqm;Estonia;01;1660
2020;sqm;Indonesia;01;547
2020;sqm;Philippines;01;20452
2020;sqm;Qatar;01;0
2020;sqm;Thailand;01;5773
2020;sqm;Australia;01;0
2020;sqm;Israel;01;79875
2020;sqm;Mauritius;01;11
2020;sqm;Austria;01;0
2020;sqm;India;01;26110
2020;sqm;Taiwan;01;34899
2020;sqm;Panama;01;0
2020;sqm;South Korea;01;41596
2020;sqm;Portugal;01;6697
2021;sqm;Albania;01;0
2021;sqm;Belgium;01;2430
2021;sqm;Brazil;01;8501
2021;sqm;Cambodia;01;1782
2021;sqm;Canada;01;72841
2021;sqm;China;01;4787
2021;sqm;Colombia;01;0
